id	title	description	link	image_link	availability	price	brand	gender	size	item_group_id
2950-46	Платье	Платье	https://m.ququ.shop/product/100668-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100668-SCALTR-0.jpg	in_stock	6349 TJS	Love Moschino	female	size: 46	2950
2950-48	Платье	Платье	https://m.ququ.shop/product/100668-SCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100668-SCALTR-0.jpg	in_stock	6349 TJS	Love Moschino	female	size: 48	2950
8066-46-48	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/103742-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103742-TCALTR-0.jpg	in_stock	2649 TJS	Boss	male	size: 46/48	8066
8066-48-50	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/103742-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103742-TCALTR-0.jpg	in_stock	2649 TJS	Boss	male	size: 48/50	8066
8066-50-52	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/103742-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103742-TCALTR-0.jpg	in_stock	2649 TJS	Boss	male	size: 50/52	8066
8066-52-54	Брюки спортивные	Брюки спортивные	https://m.ququ.shop/product/103742-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/103742-TCALTR-0.jpg	in_stock	2649 TJS	Boss	male	size: 52/54	8066
29003-42	Шорты	Шорты	https://m.ququ.shop/product/107683-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107683-UCALTR-0.jpg	in_stock	3899 TJS	Liu Jo	female	size: 42	29003
29003-44	Шорты	Шорты	https://m.ququ.shop/product/107683-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107683-UCALTR-0.jpg	in_stock	3899 TJS	Liu Jo	female	size: 44	29003
29003-46	Шорты	Шорты	https://m.ququ.shop/product/107683-UCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/107683-UCALTR-0.jpg	in_stock	3899 TJS	Liu Jo	female	size: 46	29003
32675-46-48	Рубашка	Рубашка	https://m.ququ.shop/product/109320-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109320-TCALTR-0.jpg	in_stock	2299 TJS	Tommy Hilfiger	male	size: 46/48	32675
32675-48-50	Рубашка	Рубашка	https://m.ququ.shop/product/109320-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109320-TCALTR-0.jpg	in_stock	2299 TJS	Tommy Hilfiger	male	size: 48/50	32675
32675-50-52	Рубашка	Рубашка	https://m.ququ.shop/product/109320-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109320-TCALTR-0.jpg	in_stock	2299 TJS	Tommy Hilfiger	male	size: 50/52	32675
32675-52-54	Рубашка	Рубашка	https://m.ququ.shop/product/109320-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109320-TCALTR-0.jpg	in_stock	2299 TJS	Tommy Hilfiger	male	size: 52/54	32675
32675-54-56	Рубашка	Рубашка	https://m.ququ.shop/product/109320-TCALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/109320-TCALTR-0.jpg	in_stock	2299 TJS	Tommy Hilfiger	male	size: 54/56	32675
33727-38	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 38	33727
33727-39,5	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 39,5	33727
33727-40	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 40	33727
33727-41	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 41	33727
33727-41,5	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 41,5	33727
33727-42	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 42	33727
33727-43	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 43	33727
33727-43,5	Кроссовки	Кроссовки	https://m.ququ.shop/product/100264-KBALTR	https://storage.googleapis.com/static.ququ.shop/img/product/600x866/100264-KBALTR-0.jpg	in_stock	4199 TJS	Armani Exchange	male	size: 43,5	33727
